0,0
0.10013,5.993
0.20027,10.587
0.3004,14.881
0.40053,18.58
0.50066,23.326
0.6008,27.886
0.70093,31.391
0.80106,34.973
0.9012,38.842
1.0013,41.37
1.1015,44.4
1.2016,47.244
1.3017,50.046
1.4019,52.855
1.502,54.799
1.6021,57.132
1.7023,58.819
1.8024,61.097
1.9025,62.686
2.0027,64.538
2.1028,66.151
2.2029,67.69
2.3031,69.744
2.4032,72.159
2.5033,73.055
2.6035,75.328
2.7036,77.148
2.8037,78.133
2.9039,78.659
3.004,80.368
3.1041,80.786
3.2042,81.308
3.3044,83.291
3.4045,84.473
3.5046,84.646
3.6048,86.164
3.7049,86.25
3.805,87.98
3.9052,89.231
4.0053,89.978
4.1054,90.071
4.2056,91.214
4.3057,92.769
4.4058,92.649
4.506,93.953
4.6061,94.005
4.7062,95.11
4.8064,96.06
4.9065,95.975
5.0066,96.647
5.1068,97.115
5.2069,97.892
5.307,97.692
5.4072,98.806
5.5073,98.833
5.6074,98.334
5.7076,99.045
5.8077,98.94
5.9078,99.844
6.008,101.2
6.1081,102.02
6.2082,102.4
6.3084,103.54
6.4085,104.28
6.5086,104.42
6.6088,104.75
6.7089,105.78
6.809,104.86
6.9092,104.18
7.0093,103.48
7.1094,103.63
7.2096,104.6
7.3097,105.26
7.4098,105.66
7.51,106.86
7.6101,107.71
7.7102,106.74
7.8104,106.07
7.9105,106.71
8.0106,105.66
8.1108,106.31
8.2109,106.84
8.311,106.46
8.4112,107.56
8.5113,107.78
8.6114,107.66
8.7116,108.34
8.8117,108.14
8.9118,107.5
9.012,107.18
9.1121,107.42
9.2122,107.72
9.3124,107.11
9.4125,106.07
9.5126,106.53
9.6127,106.74
9.7129,105.86
9.813,106.95
9.9131,107.7
10.013,106.72
10.113,107.78
10.214,108.19
10.314,107.58
10.414,107.61
10.514,108.61
10.614,109.6
10.714,110.1
10.814,108.98
10.914,108.96
11.015,109.07
11.115,109.52
11.215,110.16
11.315,110.37
11.415,110
11.515,109.61
11.615,108.53
11.716,108.27
11.816,107.59
11.916,108.26
12.016,107.52
12.116,107.26
12.216,106.76
12.316,105.74
12.416,106.02
12.517,105.51
12.617,105.97
12.717,105.03
12.817,104.41
12.917,104.64
13.017,105.04
13.117,105.26
13.218,104.43
13.318,103.7
13.418,104.54
13.518,104.24
13.618,103.74
13.718,103.24
13.818,102.76
13.918,103.63
14.019,103.88
14.119,104.66
14.219,104.64
14.319,105.46
14.419,106.54
14.519,106.57
14.619,106.32
14.72,106.21
14.82,106.04
14.92,106.48
15.02,107.57
15.12,108.13
15.22,108.31
15.32,109.34
15.42,109.37
15.521,109.85
15.621,109.23
15.721,109.93
15.821,110.05
15.921,109.93
16.021,109.68
16.121,108.89
16.222,109.65
16.322,108.65
16.422,109.18
16.522,108
16.622,107.05
16.722,106.26
16.822,107.3
16.922,107.91
17.023,108
17.123,108.64
17.223,108.73
17.323,109.57
17.423,110.23
17.523,110.84
17.623,110.01
17.724,110.22
17.824,109.15
17.924,109.95
18.024,110.27
18.124,109.48
18.224,109.67
18.324,108.51
18.424,109.14
18.525,108
18.625,108.75
18.725,107.94
18.825,108.4
18.925,108.07
19.025,108.21
19.125,109.18
19.225,109.38
19.326,108.33
19.426,107.64
19.526,106.69
19.626,105.67
19.726,105.86
19.826,106.84
19.926,107.6
20.027,107.46
20.127,106.57
20.227,106.42
20.327,106.22
20.427,106.61
20.527,106.8
20.627,106.17
